<http://www.worldkg.org/resource/46114474>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/5671739>
<http://www.worldkg.org/resource/440122898>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/5671739>
<http://www.worldkg.org/resource/49032026>	<RegionId>	13_4
<http://www.worldkg.org/resource/46114474>	<http://www.worldkg.org/schema/hgv>	hgv-destination
<http://www.worldkg.org/resource/122738265>	<http://www.w3.org/2000/01/rdf-schema#label>	Henry Hudson Parkway
<http://www.worldkg.org/resource/122738269>	<http://www.w3.org/2000/01/rdf-schema#label>	Henry Hudson Parkway
<http://www.worldkg.org/resource/226007052>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Line>
<http://www.worldkg.org/resource/275038485>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/486583091>
<http://www.worldkg.org/resource/621557577>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/621557578>
<http://www.worldkg.org/resource/693648914>	<http://www.w3.org/2000/01/rdf-schema#label>	West 169th Street
<http://www.worldkg.org/resource/5400493007>	<Point_transport-Adjacent-Point_pois>	<http://www.worldkg.org/resource/217722093>
<http://www.worldkg.org/resource/693648914>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/440122898>
<http://www.worldkg.org/resource/122738265>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/Motorway>
<http://www.worldkg.org/resource/669610146>	<RegionId>	13_4
<http://www.worldkg.org/resource/49032026>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/1721287283>
<http://www.worldkg.org/resource/275038470>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/669610146>
<http://www.worldkg.org/resource/46114474>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/621557579>
<http://www.worldkg.org/resource/2270245977>	<http://www.worldkg.org/schema/artistName>	artistName-Terry Fugate-Wilcox
<http://www.worldkg.org/resource/122738265>	<http://www.worldkg.org/schema/goods>	goods-no
<http://www.worldkg.org/resource/46593266>	<http://www.worldkg.org/schema/foot>	foot-yes
<http://www.worldkg.org/resource/669610146>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038489>
<http://www.worldkg.org/resource/275038489>	<http://www.worldkg.org/schema/height>	height-70.7
<http://www.worldkg.org/resource/486583092>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/486583091>
<http://www.worldkg.org/resource/621557579>	<http://www.worldkg.org/schema/wikipedia>	wikipedia-en:Riverside Drive (Manhattan)
<http://www.worldkg.org/resource/730156337>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/400456495>
<http://www.worldkg.org/resource/275038482>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/BuildingUniversity>
<http://www.worldkg.org/resource/798544893>	<http://www.w3.org/2000/01/rdf-schema#label>	Fort Washington Park Greenway
<http://www.worldkg.org/resource/798544893>	<http://www.worldkg.org/schema/bicycle>	bicycle-designated
<http://www.worldkg.org/resource/278618227>	<http://www.worldkg.org/schema/lanes>	lanes-3
<http://www.worldkg.org/resource/275038482>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/669610146>
<http://www.worldkg.org/resource/49032026>	<http://www.worldkg.org/schema/layer>	layer-2
<http://www.worldkg.org/resource/8119481>	<http://www.worldkg.org/schema/oneway>	oneway-yes
<http://www.worldkg.org/resource/2270245977>	<http://www.worldkg.org/schema/source>	source-http://www.nycgovparks.org/parks/jhoodwrightpark/highlights/11938
<http://www.worldkg.org/resource/232473896>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/49032026>
<http://www.worldkg.org/resource/49032026>	<http://www.worldkg.org/schema/bridge>	bridge-yes
<http://www.worldkg.org/resource/49032026>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/397678729>
